Time,base_link_contacts_data,goal_status_data,power_consumption_hip_data,power_consumption_total_data,power_consumption_wheel_data
1724189058.8838153,0.0,0.0,960.7286376953124,960.7286376953124,0.0
1724189058.8945932,0.0,0.0,960.7286376953124,960.7286376953124,0.0
1724189058.914366,0.0,0.0,960.7286376953124,960.7286376953124,0.0
1724189058.916781,0.0,0.0,960.7286376953124,1041.3160400390625,0.0
1724189058.9167936,0.0,0.0,960.7286376953124,1041.3160400390625,0.0
1724189058.9167962,0.0,0.0,1041.3160400390625,1041.3160400390625,0.0
1724189058.9345891,0.0,0.0,1041.3160400390625,1041.3160400390625,0.0
1724189058.9508352,0.0,0.0,1122.384521484375,1041.3160400390625,0.0
1724189058.950847,0.0,0.0,1122.384521484375,1041.3160400390625,5.230991840362549
1724189058.9508486,0.0,0.0,1122.384521484375,1127.615478515625,5.230991840362549
