Time,base_link_contacts_data,goal_status_data,power_consumption_hip_data,power_consumption_total_data,power_consumption_wheel_data
1724194058.6105857,0.0,0.0,1200.8326416015625,1120.779052734375,0.0
1724194058.6105864,0.0,0.0,1200.8326416015625,1200.8326416015625,0.0
1724194058.620271,0.0,0.0,1200.8326416015625,1200.8326416015625,0.0
1724194058.640237,0.0,0.0,1200.8326416015625,1200.8326416015625,0.0
1724194058.6436057,0.0,0.0,1200.8326416015625,1280.8863525390625,0.0
1724194058.64361,0.0,0.0,1200.8326416015625,1280.8863525390625,0.0
1724194058.6436172,0.0,0.0,1280.8863525390625,1280.8863525390625,0.0
1724194058.660344,0.0,0.0,1280.8863525390625,1280.8863525390625,0.0
1724194058.67669,0.0,0.0,1280.8863525390625,1280.8863525390625,0.0
1724194058.6766982,0.0,0.0,1280.8863525390625,1360.93994140625,0.0
